line_id;marker;date_time;description
44;ERROR;2017-11-10 11:29:47;openerp.http: Exception during JSON request handling.
195;ERROR;2017-11-10 11:33:37;openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 60309)
205;ERROR;2017-11-10 11:33:37;openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 60414)
216;ERROR;2017-11-10 11:33:37;openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 60415)
443;ERROR;2017-11-10 12:07:44;openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 54278)
474;ERROR;2017-11-10 12:14:41;Error on request:
540;ERROR;2017-11-10 12:15:42;openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 56626)
550;ERROR;2017-11-10 12:15:54;openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 56721)
621;ERROR;2017-11-10 12:16:55;openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 57052)
631;ERROR;2017-11-10 12:17:28;openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 57252)
654;ERROR;2017-11-10 12:17:59;Error on request:
691;ERROR;2017-11-10 12:19:03;openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 57778)
759;ERROR;2017-11-10 12:24:00;openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 59336)
827;ERROR;2017-11-10 12:27:53;openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 60481)
883;ERROR;2017-11-10 12:28:44;openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 60740)
893;ERROR;2017-11-10 12:28:51;openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 60810)
1101;ERROR;2017-11-10 15:27:46;openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 61475)
1125;ERROR;2017-11-10 15:28:50;Error on request:
1169;ERROR;2017-11-10 15:30:41;Error on request:
1305;ERROR;2017-11-10 15:37:03;openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 64824)
1315;ERROR;2017-11-10 15:37:06;openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 64884)
1435;ERROR;2017-11-10 15:47:21;openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 52710)
1497;ERROR;2017-11-10 16:03:49;openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 58741)
1560;ERROR;2017-11-10 17:00:57;sql_db: Connection to the database failed
1566;CRITICAL;2017-11-10 17:00:57;service.server: Failed to initialize database `pg`.
1580;ERROR;2017-11-10 17:01:54;sql_db: Connection to the database failed
1586;ERROR;2017-11-10 17:01:54;addons.bus.bus: Bus.loop error, sleep and retry
1601;ERROR;2017-11-10 17:02:00;openerp.sql_db: Connection to the database failed
1607;ERROR;2017-11-10 17:02:00;"openerp.http: FATAL:  password authentication failed for user ""openpg"""
1619;ERROR;2017-11-10 17:02:00;openerp.sql_db: Connection to the database failed
1625;ERROR;2017-11-10 17:02:00;"openerp.http: FATAL:  password authentication failed for user ""openpg"""
